scenario,dataset,model,attack,attack_mode,partition,intensity,clean_accuracy_mean,clean_accuracy_std,clean_accuracy_min,clean_accuracy_max,attacked_accuracy_mean,attacked_accuracy_std,attacked_accuracy_min,attacked_accuracy_max,accuracy_drop_pp_mean,accuracy_drop_pp_std,accuracy_drop_pp_min,accuracy_drop_pp_max,attack_success_rate_mean,attack_success_rate_std,attack_success_rate_min,attack_success_rate_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,positive_recall_mean,positive_recall_std,positive_recall_min,positive_recall_max,f1_mean,f1_std,f1_min,f1_max,n,seeds
s1,breast_cancer,logistic_regression,extraction,label_only,-,25.000000,0.970175,0.020195,0.938596,0.991228,0.908772,0.038034,0.850877,0.956140,6.140351,3.563175,2.631579,11.403509,0.928070,0.031260,0.885965,0.956140,0.900992,0.038865,0.847222,0.945437,0.871429,0.081788,0.809524,1.000000,0.876073,0.048911,0.804598,0.938272,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,extraction,label_only,-,50.000000,0.970175,0.020195,0.938596,0.991228,0.943860,0.031990,0.894737,0.973684,2.631579,3.563175,-1.754386,7.894737,0.952631,0.020194,0.921053,0.973684,0.943651,0.030379,0.896825,0.972222,0.942857,0.049373,0.880952,1.000000,0.925971,0.040229,0.863636,0.963855,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,extraction,label_only,-,100.000000,0.970175,0.020195,0.938596,0.991228,0.964912,0.021487,0.938596,0.991228,0.526316,2.019450,-1.754386,3.508772,0.980702,0.011437,0.964912,0.991228,0.957341,0.025176,0.926587,0.988095,0.928571,0.044544,0.880952,0.976190,0.951005,0.030299,0.913580,0.987952,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,extraction,label_only,-,250.000000,0.970175,0.020195,0.938596,0.991228,0.966666,0.016873,0.938596,0.982456,0.350877,0.480458,0.000000,0.877193,0.992982,0.007339,0.982456,1.000000,0.960714,0.024886,0.916667,0.976190,0.938095,0.059761,0.833333,0.976190,0.953350,0.025950,0.909091,0.975610,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,extraction,label_only,-,500.000000,0.970175,0.020195,0.938596,0.991228,0.971930,0.019017,0.947368,0.991228,-0.175439,1.301087,-1.754386,1.754386,0.987719,0.011769,0.973684,1.000000,0.966865,0.023671,0.933532,0.988095,0.947619,0.042592,0.880952,0.976190,0.961018,0.027088,0.925000,0.987952,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,extraction,label_only,-,1000.000000,0.970175,0.020195,0.938596,0.991228,0.968421,0.017100,0.947368,0.991228,0.175439,1.143720,-0.877193,1.754386,0.991228,0.006203,0.982456,1.000000,0.962103,0.023100,0.928571,0.988095,0.938095,0.049372,0.857143,0.976190,0.955870,0.025030,0.923077,0.987952,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,inversion,zeroth_order,-,0.000000,0.970175,0.020195,0.938596,0.991228,0.970175,0.020195,0.938596,0.991228,0.000000,0.000000,0.000000,0.000000,,,,,0.963492,0.028037,0.916667,0.988095,0.938095,0.059761,0.833333,0.976190,0.957894,0.030356,0.909091,0.987952,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,inversion,zeroth_order,-,20.000000,0.970175,0.020195,0.938596,0.991228,0.970175,0.020195,0.938596,0.991228,0.000000,0.000000,0.000000,0.000000,0.405374,0.046211,0.338001,0.461807,0.963492,0.028037,0.916667,0.988095,0.938095,0.059761,0.833333,0.976190,0.957894,0.030356,0.909091,0.987952,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,inversion,zeroth_order,-,100.000000,0.970175,0.020195,0.938596,0.991228,0.970175,0.020195,0.938596,0.991228,0.000000,0.000000,0.000000,0.000000,0.526048,0.084309,0.399645,0.593869,0.963492,0.028037,0.916667,0.988095,0.938095,0.059761,0.833333,0.976190,0.957894,0.030356,0.909091,0.987952,5,"0,1,2,3,4"
s1,breast_cancer,logistic_regression,inversion,zeroth_order,-,500.000000,0.970175,0.020195,0.938596,0.991228,0.970175,0.020195,0.938596,0.991228,0.000000,0.000000,0.000000,0.000000,0.677130,0.045212,0.608203,0.716893,0.963492,0.028037,0.916667,0.988095,0.938095,0.059761,0.833333,0.976190,0.957894,0.030356,0.909091,0.987952,5,"0,1,2,3,4"
