Queries,Breast Cancer: Accuracy (%),Breast Cancer: Success (%),Digits: Accuracy (%),Digits: Success (%),Wine: Accuracy (%),Wine: Success (%)
0,97.0 ± 2.0,—,97.0 ± 0.7,—,98.9 ± 1.5,—
10,74.9 ± 9.8,75.1 ± 9.7,17.6 ± 4.1,17.3 ± 4.6,68.3 ± 18.7,67.8 ± 18.1
25,90.9 ± 3.8,92.8 ± 3.1,27.6 ± 8.1,27.4 ± 8.2,82.8 ± 12.8,82.8 ± 12.8
50,94.4 ± 3.2,95.3 ± 2.0,41.4 ± 8.7,41.2 ± 8.4,94.4 ± 7.1,94.4 ± 7.1
100,96.5 ± 2.1,98.1 ± 1.1,54.2 ± 4.3,54.2 ± 4.4,97.8 ± 1.2,98.3 ± 1.5
250,96.7 ± 1.7,99.3 ± 0.7,82.7 ± 3.3,82.7 ± 3.0,98.9 ± 1.5,99.4 ± 1.2
500,97.2 ± 1.9,98.8 ± 1.2,93.0 ± 2.1,94.2 ± 2.8,99.4 ± 1.2,99.4 ± 1.2
1000,96.8 ± 1.7,99.1 ± 0.6,95.6 ± 0.8,97.5 ± 0.6,98.9 ± 1.5,100.0 ± 0.0
