Triggered training rows,Breast Cancer: Accuracy (%),Breast Cancer: Success (%),Digits: Accuracy (%),Digits: Success (%),Wine: Accuracy (%),Wine: Success (%)
0%,92.3 ± 1.4,1.0 ± 1.3,68.6 ± 7.9,4.2 ± 2.0,93.9 ± 2.3,23.6 ± 3.8
1%,92.6 ± 4.0,12.9 ± 7.6,67.7 ± 8.1,6.2 ± 4.1,92.8 ± 4.2,30.0 ± 11.4
2%,87.4 ± 4.2,17.1 ± 5.2,62.9 ± 13.2,10.1 ± 5.3,92.2 ± 4.1,42.7 ± 10.5
5%,87.9 ± 3.3,66.7 ± 24.8,69.6 ± 3.7,22.9 ± 10.7,90.6 ± 3.2,64.5 ± 15.2
10%,81.8 ± 5.2,79.5 ± 12.0,68.8 ± 4.9,43.8 ± 9.4,92.8 ± 4.2,88.2 ± 5.2
20%,76.7 ± 6.9,81.9 ± 10.6,68.0 ± 5.1,78.7 ± 8.8,95.6 ± 1.5,88.2 ± 6.9
