Known members per side,Breast Cancer: Success (%),Digits: Success (%),Wine: Success (%)
0,—,—,—
2,50.1 ± 2.1,49.7 ± 1.0,49.7 ± 3.0
5,51.7 ± 3.4,48.7 ± 1.8,51.0 ± 5.0
10,51.3 ± 3.5,48.9 ± 2.1,49.6 ± 6.6
20,52.2 ± 2.0,49.3 ± 2.3,45.6 ± 8.1
