Queries per class,Breast Cancer: Success (%),Digits: Success (%),Wine: Success (%)
0,—,—,—
20,27.4 ± 15.9,14.8 ± 5.8,44.7 ± 6.2
100,50.1 ± 8.4,29.0 ± 4.4,64.6 ± 4.9
500,63.2 ± 6.3,48.8 ± 7.8,78.4 ± 6.6
2000,65.5 ± 7.9,52.8 ± 7.0,86.2 ± 0.9
